distractor,target,set,ans,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,image_4_stopped,wait_img_started,wait_img_stopped,key_resp_3_keys,key_resp_3_rt,image_5_started,image_5_stopped,ins_rep_img_started,ins_rep_img_stopped,st_prac_back_started,st_prac_back_stopped,prac_img_started,prac_img_stopped,st_fix_back_started,st_fix_back_stopped,st_fix_2_started,st_fix_2_stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back_started,st_back_stopped,st2_resp_keys,st2_resp_corr,st_main_back_started,st_main_back_stopped,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,mouse_4_started,mouse_4_stopped,main_key_keys,main_key_rt,main_key_started,main_key_stopped,main_img_started,main_img_stopped,contineu_block_started,contineu_block_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
neutral,red,1,k,NaN,NaN,NaN,NaN,0,0,0,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.2636731000093,None,42.2636731000093,None,space,1.78239919999032,58.6157583000022,None,58.6157583000022,None,60.7808856999909,None,60.7808856999909,None,62.8178515000036,None,62.8178515000036,None,prac,k,k,1,3.56616529999883,64.9844040999888,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,301,2023-08-15_13h14.41.226,Main,2022.1.1,59.7343018224702
positive,red,1,k,NaN,NaN,NaN,NaN,0,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.616401099978248,70.5957691000076,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,301,2023-08-15_13h14.41.226,Main,2022.1.1,59.7343018224702
positive,red,1,k,NaN,NaN,NaN,NaN,0,2,2,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.667806499986909,72.2011626000167,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,301,2023-08-15_13h14.41.226,Main,2022.1.1,59.7343018224702
negative,blue,1,None,NaN,NaN,NaN,NaN,0,3,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.51330510000116,73.8842218999926,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,301,2023-08-15_13h14.41.226,Main,2022.1.1,59.7343018224702
neutral,blue,1,None,NaN,NaN,NaN,NaN,0,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.51360000000568,76.3824276000087,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,301,2023-08-15_13h14.41.226,Main,2022.1.1,59.7343018224702
negative,red,1,k,NaN,NaN,NaN,NaN,0,5,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.767315499979304,78.9178494999942,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,301,2023-08-15_13h14.41.226,Main,2022.1.1,59.7343018224702
negative,yellow,1,None,NaN,NaN,NaN,NaN,0,6,6,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50957890000427,80.6818313999975,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,301,2023-08-15_13h14.41.226,Main,2022.1.1,59.7343018224702
neutral,yellow,1,None,NaN,NaN,NaN,NaN,0,7,7,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.51500049998867,83.1797620000143,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,301,2023-08-15_13h14.41.226,Main,2022.1.1,59.7343018224702
neutral,red,1,k,NaN,NaN,NaN,NaN,0,8,8,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,8.33083849999821,85.696419200016,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,301,2023-08-15_13h14.41.226,Main,2022.1.1,59.7343018224702
positive,blue,1,None,NaN,NaN,NaN,NaN,0,9,9,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.52976579999086,96.044861900009,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,301,2023-08-15_13h14.41.226,Main,2022.1.1,59.7343018224702
