distractor,target,set,ans,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,image_4_stopped,wait_img_started,wait_img_stopped,key_resp_3_keys,key_resp_3_rt,image_5_started,image_5_stopped,ins_rep_img_started,ins_rep_img_stopped,st_prac_back_started,st_prac_back_stopped,prac_img_started,prac_img_stopped,st_fix_back_started,st_fix_back_stopped,st_fix_2_started,st_fix_2_stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back_started,st_back_stopped,st2_resp_keys,st2_resp_corr,st_main_back_started,st_main_back_stopped,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,mouse_4_started,mouse_4_stopped,main_key_keys,main_key_started,main_key_stopped,main_img_started,main_img_stopped,id_,date,expName,psychopyVersion,frameRate
negative,yellow,1,None,NaN,NaN,NaN,NaN,0,0,0,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.4039952000021,None,46.4039952000021,None,space,36.2862861000031,94.5282244000009,None,94.5282244000009,None,96.1404402000007,None,96.1404402000007,None,98.1662223999992,None,98.1662223999992,None,prac,None,None,1,1.50283510000008,100.165938300001,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
neutral,yellow,1,None,NaN,NaN,NaN,NaN,0,1,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.52360419999968,102.661295000002,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
positive,yellow,1,None,NaN,NaN,NaN,NaN,0,2,2,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,k,0,1.24059979999947,105.1924645,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
neutral,red,1,k,NaN,NaN,NaN,NaN,0,3,3,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,2.65740340000048,108.491137200002,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
positive,red,1,k,NaN,NaN,NaN,NaN,0,4,4,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,4.17042890000084,113.1767354,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
negative,red,1,k,NaN,NaN,NaN,NaN,0,5,5,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.40212070000052,119.371589400002,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
neutral,blue,1,None,NaN,NaN,NaN,NaN,0,6,6,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.51056669999889,121.772904900001,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
positive,red,1,k,NaN,NaN,NaN,NaN,0,7,7,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,2.0482837999989,124.287290300002,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
neutral,red,1,k,NaN,NaN,NaN,NaN,0,8,8,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.2808229000002,128.402928899999,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
negative,red,1,k,NaN,NaN,NaN,NaN,0,9,9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,2.1273188999985,130.671047100001,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
negative,blue,1,None,NaN,NaN,NaN,NaN,0,10,10,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50640009999915,134.8179308,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
positive,blue,1,None,NaN,NaN,NaN,NaN,0,11,11,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.51462869999887,137.324039300001,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,,,NaN,NaN,NaN,,,NaN,139.861091700001,None,0.13703704,-0.20648149,0,0,0,0.00614566666263272,None,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,,,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,None,139.861091700001,None,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
negative,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,6,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,143.1945896,None,143.1945896,None,main,None,None,1,1.50165229999766,145.215652800001,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,139.861091700001,None,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
negative,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,3,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.50720809999984,147.732150100001,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,402,2023-08-15_15h23.31.972,Main,2022.1.1,None
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,,,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,,
