distractor,target,set,ans,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,image_4_stopped,wait_img_started,wait_img_stopped,key_resp_3_keys,key_resp_3_rt,image_5_started,image_5_stopped,ins_rep_img_started,ins_rep_img_stopped,st_prac_back_started,st_prac_back_stopped,prac_img_started,prac_img_stopped,st_fix_back_started,st_fix_back_stopped,st_fix_2_started,st_fix_2_stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back_started,st_back_stopped,st2_resp_keys,st2_resp_corr,st_main_back_started,st_main_back_stopped,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,mouse_4_started,mouse_4_stopped,main_key_keys,main_key_started,main_key_stopped,main_img_started,main_img_stopped,contineu_block_started,contineu_block_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
positive,red,1,k,NaN,NaN,NaN,NaN,0,0,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.5879844999872,None,76.5879844999872,None,space,74.1451589000353,113.137251099979,None,113.137251099979,None,114.387768299988,None,114.387768299988,None,116.385359599983,None,116.385359599983,None,prac,k,k,1,1.43175710001378,118.431444599992,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
neutral,yellow,1,None,NaN,NaN,NaN,NaN,0,1,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50365070000407,120.882488399977,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
negative,red,1,k,NaN,NaN,NaN,NaN,0,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.769257300009485,123.364451899979,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
neutral,red,1,k,NaN,NaN,NaN,NaN,0,3,3,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.760090900002979,125.136242899986,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
neutral,blue,1,None,NaN,NaN,NaN,NaN,0,4,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.53042639998603,126.899356599984,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
neutral,red,1,k,NaN,NaN,NaN,NaN,0,5,5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.692840300005628,129.432105099986,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
positive,yellow,1,None,NaN,NaN,NaN,NaN,0,6,6,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.53697600000305,131.135837399983,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
negative,red,1,k,NaN,NaN,NaN,NaN,0,7,7,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.638870399998268,133.701304699993,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
negative,yellow,1,None,NaN,NaN,NaN,NaN,0,8,8,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.52810999998474,135.313518099982,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
negative,blue,1,None,NaN,NaN,NaN,NaN,0,9,9,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.52906840000651,137.849802099983,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
positive,blue,1,None,NaN,NaN,NaN,NaN,0,10,10,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.5246116000053,140.384771099983,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
positive,red,1,k,NaN,NaN,NaN,NaN,0,11,11,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.615749299991876,142.912565799983,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,,,NaN,NaN,NaN,,,NaN,144.536466699996,None,0.26574075,0.053703703,0,0,0,0.00287216666038148,None,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,,,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,None,144.536466699996,None,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
positive,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,5,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,180.063346199982,None,180.063346199982,None,main,None,None,1,1.51200230000541,182.149001699989,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,144.536466699996,None,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,0,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.776809100003447,184.630164299975,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
positive,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,8,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.53456949998508,186.397876499977,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
neutral,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,7,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.52851569998893,188.946593499975,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,1,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.593490300001577,191.479024699976,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
negative,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,6,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.51295610002126,193.082763699989,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,6,6,10,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.510495299997274,195.580060399981,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
neutral,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,7,7,4,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.54894290000084,197.096234199998,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,8,8,9,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.596621100004995,199.662279899989,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,9,9,2,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.701429100008681,201.24684539999,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,10,10,11,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.740519599989057,202.965084900003,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,999,2023-08-15_16h18.16.722,Main,2022.1.1,None
