target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,start_wait_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_5_started,image_6_started,back_2_started,mainback_started,mouse_6_started,image_7_started,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,j_button_started,k_button_started,l_button_started,targ_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2_started,k_button2_started,l_button2_started,j_button2_stopped,k_button2_stopped,l_button2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.8602771998849,33.8602771998849,33.8602771998849,space,1.18922060006298,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,2023-08-15_12h53.27.499,Main,2023.1.2,None
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,space,1.11473589995876,37.2618464999832,37.2618464999832,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,2023-08-15_12h53.27.499,Main,2023.1.2,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,38.8623412000015,40.895651999861,42.8962228999007,0.0434165999758989,42.8962228999007,space,3.30594939994626,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,2023-08-15_12h53.27.499,Main,2023.1.2,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,0.182407407407407,0.184259259259259,0,0,0,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,2023-08-15_12h53.27.499,Main,2023.1.2,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,3,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,46.2614004998468,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,neutral,negative,48.328066600021,48.328066600021,48.328066600021,48.328066600021,49.3107926999219,49.3444045998622,j,j,1,4.10102929989807,53.4270742998924,53.4270742998924,53.4270742998924,54.4937225000467,54.4937225000467,54.4937225000467,30,2023-08-15_12h53.27.499,Main,2023.1.2,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,1,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,neutral,neutral,54.4937225000467,54.4937225000467,54.4937225000467,54.4937225000467,55.477922399994,55.5115113998763,k,k,1,1.96684579993598,57.445528900018,57.445528900018,57.445528900018,57.445528900018,57.445528900018,57.445528900018,30,2023-08-15_12h53.27.499,Main,2023.1.2,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,16,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,negative,neutral,57.445528900018,57.445528900018,57.445528900018,57.445528900018,58.4445580998436,58.4781603999436,k,k,1,2.69239909993485,61.1134511998389,61.1134511998389,61.1134511998389,62.1621782998554,62.1621782998554,62.1621782998554,30,2023-08-15_12h53.27.499,Main,2023.1.2,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,11,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,2,positive,positive,62.1621782998554,62.1621782998554,62.1621782998554,62.1621782998554,63.1616545000579,63.1946399998851,l,j,0,1.72843910008669,64.862519599963,64.862519599963,64.862519599963,65.9275871999562,65.9275871999562,65.9275871999562,30,2023-08-15_12h53.27.499,Main,2023.1.2,None
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,0,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,1,negative,negative,65.9275871999562,65.9275871999562,65.9275871999562,65.9275871999562,66.9117357998621,66.9453995998483,j,j,1,2.86197829991579,69.7468216998968,69.7468216998968,69.7468216998968,70.7961699999869,70.7961699999869,70.7961699999869,30,2023-08-15_12h53.27.499,Main,2023.1.2,None
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,17,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,neutral,positive,70.7961699999869,70.7961699999869,70.7961699999869,70.7961699999869,71.7949593998492,71.8458294998854,l,l,1,10.011131899897,81.7810863000341,81.7810863000341,81.7810863000341,82.8131106998771,82.8131106998771,82.8131106998771,30,2023-08-15_12h53.27.499,Main,2023.1.2,None
